k,p_k,horizon_N,defects,rho_N
1,2,9,0,0.0
2,3,25,0,0.0
3,5,49,1,0.020833333333333332
4,7,121,0,0.0
5,11,169,1,0.005952380952380952
6,13,289,0,0.0
7,17,361,0,0.0
8,19,529,0,0.0
9,23,841,0,0.0
10,29,961,0,0.0
11,31,1369,0,0.0
12,37,1681,0,0.0
13,41,1849,0,0.0
14,43,2209,0,0.0
15,47,2809,0,0.0
16,53,3481,0,0.0
17,59,3721,0,0.0
18,61,4489,0,0.0
19,67,5041,0,0.0
20,71,5329,0,0.0
21,73,6241,0,0.0
22,79,6889,0,0.0
23,83,7921,0,0.0
24,89,9409,0,0.0
25,97,10201,0,0.0
26,101,10609,0,0.0
27,103,11449,0,0.0
28,107,11881,0,0.0
29,109,12769,0,0.0
30,113,16129,0,0.0
31,127,17161,0,0.0
32,131,18769,0,0.0
33,137,19321,0,0.0
34,139,22201,0,0.0
35,149,22801,0,0.0
36,151,24649,0,0.0
37,157,26569,0,0.0
38,163,27889,0,0.0
39,167,29929,0,0.0
40,173,32041,0,0.0
41,179,32761,0,0.0
42,181,36481,0,0.0
43,191,37249,0,0.0
44,193,38809,0,0.0
45,197,39601,0,0.0
46,199,44521,0,0.0
47,211,49729,0,0.0
48,223,51529,0,0.0
49,227,52441,0,0.0
50,229,54289,0,0.0
51,233,57121,0,0.0
52,239,58081,0,0.0
53,241,63001,0,0.0
54,251,66049,0,0.0
55,257,69169,0,0.0
56,263,72361,0,0.0
57,269,73441,0,0.0
58,271,76729,0,0.0
59,277,78961,0,0.0
60,281,80089,0,0.0
61,283,85849,0,0.0
62,293,94249,0,0.0
63,307,96721,0,0.0
64,311,97969,0,0.0
65,313,100489,0,0.0
66,317,109561,0,0.0
67,331,113569,0,0.0
68,337,120409,0,0.0
69,347,121801,0,0.0
70,349,124609,0,0.0
71,353,128881,0,0.0
72,359,134689,0,0.0
73,367,139129,0,0.0
74,373,143641,0,0.0
75,379,146689,0,0.0
76,383,151321,0,0.0
77,389,157609,0,0.0
78,397,160801,0,0.0
79,401,167281,0,0.0
80,409,175561,0,0.0
81,419,177241,0,0.0
82,421,185761,0,0.0
83,431,187489,0,0.0
84,433,192721,0,0.0
85,439,196249,0,0.0
86,443,201601,0,0.0
87,449,208849,0,0.0
88,457,212521,0,0.0
89,461,214369,0,0.0
90,463,218089,0,0.0
91,467,229441,0,0.0
92,479,237169,0,0.0
93,487,241081,0,0.0
94,491,249001,0,0.0
95,499,253009,0,0.0
96,503,259081,0,0.0
97,509,271441,0,0.0
98,521,273529,0,0.0
99,523,292681,0,0.0
100,541,299209,0,0.0
