k,p_k,horizon_N,defects,rho_N,wall_time_s
1,2,9,0,0.0,1.430511474609375e-06
2,3,25,0,0.0,6.198883056640625e-06
3,5,49,1,0.020833333333333332,6.4373016357421875e-06
4,7,121,0,0.0,4.291534423828125e-06
5,11,169,1,0.005952380952380952,2.1457672119140625e-06
6,13,289,0,0.0,2.384185791015625e-06
7,17,361,0,0.0,5.245208740234375e-06
8,19,529,0,0.0,4.291534423828125e-06
9,23,841,0,0.0,3.5762786865234375e-06
10,29,961,0,0.0,7.3909759521484375e-06
11,31,1369,0,0.0,5.0067901611328125e-06
12,37,1681,0,0.0,5.7220458984375e-06
13,41,1849,0,0.0,9.775161743164062e-06
14,43,2209,0,0.0,7.867813110351562e-06
15,47,2809,0,0.0,1.0013580322265625e-05
16,53,3481,0,0.0,1.2159347534179688e-05
17,59,3721,0,0.0,1.2874603271484375e-05
18,61,4489,0,0.0,1.5497207641601562e-05
19,67,5041,0,0.0,1.5735626220703125e-05
20,71,5329,0,0.0,2.4318695068359375e-05
21,73,6241,0,0.0,2.09808349609375e-05
22,79,6889,0,0.0,2.5987625122070312e-05
23,83,7921,0,0.0,2.6226043701171875e-05
24,89,9409,0,0.0,3.147125244140625e-05
25,97,10201,0,0.0,3.314018249511719e-05
26,101,10609,0,0.0,3.4332275390625e-05
27,103,11449,0,0.0,3.695487976074219e-05
28,107,11881,0,0.0,3.504753112792969e-05
29,109,12769,0,0.0,4.363059997558594e-05
30,113,16129,0,0.0,5.1021575927734375e-05
31,127,17161,0,0.0,5.53131103515625e-05
32,131,18769,0,0.0,5.9604644775390625e-05
33,137,19321,0,0.0,6.151199340820312e-05
34,139,22201,0,0.0,6.389617919921875e-05
35,149,22801,0,0.0,7.200241088867188e-05
36,151,24649,0,0.0,7.700920104980469e-05
37,157,26569,0,0.0,8.296966552734375e-05
38,163,27889,0,0.0,8.678436279296875e-05
39,167,29929,0,0.0,9.250640869140625e-05
40,173,32041,0,0.0,9.918212890625e-05
41,179,32761,0,0.0,0.000102996826171875
42,181,36481,0,0.0,0.0001125335693359375
43,191,37249,0,0.0,0.00011515617370605469
44,193,38809,0,0.0,0.00011920928955078125
45,197,39601,0,0.0,0.0001220703125
46,199,44521,0,0.0,0.00013589859008789062
47,211,49729,0,0.0,0.00015163421630859375
48,223,51529,0,0.0,0.00015687942504882812
49,227,52441,0,0.0,0.00015974044799804688
50,229,54289,0,0.0,0.00015163421630859375
51,233,57121,0,0.0,0.0001728534698486328
52,239,58081,0,0.0,0.00017571449279785156
53,241,63001,0,0.0,0.00019121170043945312
54,251,66049,0,0.0,0.00020313262939453125
55,257,69169,0,0.0,0.00020933151245117188
56,263,72361,0,0.0,0.00021839141845703125
57,269,73441,0,0.0,0.0002269744873046875
58,271,76729,0,0.0,0.0002315044403076172
59,277,78961,0,0.0,0.0002377033233642578
60,281,80089,0,0.0,0.00022602081298828125
61,283,85849,0,0.0,0.0002579689025878906
62,293,94249,0,0.0,0.00028228759765625
63,307,96721,0,0.0,0.00029087066650390625
64,311,97969,0,0.0,0.0002918243408203125
65,313,100489,0,0.0,0.00030040740966796875
66,317,109561,0,0.0,0.0003294944763183594
67,331,113569,0,0.0,0.00033974647521972656
68,337,120409,0,0.0,0.0003561973571777344
69,347,121801,0,0.0,0.0003609657287597656
70,349,124609,0,0.0,0.0003714561462402344
71,353,128881,0,0.0,0.0003833770751953125
72,359,134689,0,0.0,0.0003981590270996094
73,367,139129,0,0.0,0.0004127025604248047
74,373,143641,0,0.0,0.0004241466522216797
75,379,146689,0,0.0,0.0003998279571533203
76,383,151321,0,0.0,0.00044727325439453125
77,389,157609,0,0.0,0.00046563148498535156
78,397,160801,0,0.0,0.0004756450653076172
79,401,167281,0,0.0,0.0004961490631103516
80,409,175561,0,0.0,0.0005180835723876953
81,419,177241,0,0.0,0.0004813671112060547
82,421,185761,0,0.0,0.0005462169647216797
83,431,187489,0,0.0,0.0005517005920410156
84,433,192721,0,0.0,0.0005669593811035156
85,439,196249,0,0.0,0.0006322860717773438
86,443,201601,0,0.0,0.0005905628204345703
87,449,208849,0,0.0,0.0006134510040283203
88,457,212521,0,0.0,0.0006191730499267578
89,461,214369,0,0.0,0.0006282329559326172
90,463,218089,0,0.0,0.0006384849548339844
91,467,229441,0,0.0,0.0006747245788574219
92,479,237169,0,0.0,0.0006921291351318359
93,487,241081,0,0.0,0.0007202625274658203
94,491,249001,0,0.0,0.0007274150848388672
95,499,253009,0,0.0,0.0007398128509521484
96,503,259081,0,0.0,0.0007581710815429688
97,509,271441,0,0.0,0.0007846355438232422
98,521,273529,0,0.0,0.0007898807525634766
99,523,292681,0,0.0,0.0007836818695068359
100,541,299209,0,0.0,0.0008709430694580078
101,547,310249,0,0.0,0.0009050369262695312
102,557,316969,0,0.0,0.0009129047393798828
103,563,323761,0,0.0,0.0009453296661376953
104,569,326041,0,0.0,0.000949859619140625
105,571,332929,0,0.0,0.0009658336639404297
106,577,344569,0,0.0,0.0009970664978027344
107,587,351649,0,0.0,0.0010182857513427734
108,593,358801,0,0.0,0.001046895980834961
109,599,361201,0,0.0,0.0010647773742675781
110,601,368449,0,0.0,0.001068115234375
111,607,375769,0,0.0,0.0010025501251220703
112,613,380689,0,0.0,0.0011129379272460938
